OLASI SORULAR - PINAR AGENT 35 YAŞINDA ATİNADA YAŞIYOR,CEVAPLAR 
Gayrimenkul yerine başka bir yatırım türü yapılabilir mi?,"Yunanistan Oturum İzni İçin Gayrimenkul Dışındaki Yatırım Seçenekleri

Yunanistan’da oturum izni (Golden Visa) programı temelde gayrimenkul yatırımı üzerinden tanınsa da, belirli koşulları sağlayan yatırımcılar için alternatif yatırım türleri de mümkündür.
Bu seçeneklerin her biri farklı prosedürler ve tutarlar içerir — ancak tüm bu yatırım türlerinde size tam kapsamlı destek sunabiliyoruz.

🔹 1. Sermaye yatırımı (Capital Contribution)

Yunanistan merkezli bir şirkete en az 400.000 € tutarında sermaye yatırımı yapılabilir.

Bu yatırım anonim şirket (A.E.), limited (E.P.E.) veya özel sermaye şirketi (I.K.E.) aracılığıyla gerçekleştirilebilir.

Şirketin faaliyetlerinin gerçek ve sürdürülebilir olması şarttır.

Bu süreçte gerekli tüm yasal ve mali prosedürlerde size destek olabiliriz.

🔹 2. Yunan devlet tahvili (Greek Government Bonds)

En az 400.000 € tutarında Yunan devlet tahvili alınabilir.

Tahvilin en az 3 yıl elde tutulması gereklidir.

Alım yalnızca Yunanistan’daki bir banka aracılığıyla yapılmalıdır.

Tahvil seçimi, banka işlemleri ve resmi başvuru sürecinde size rehberlik ediyoruz.

🔹 3. Yatırım fonları ve gayrimenkul yatırım ortaklıkları (REIC & Venture Capital Funds)

En az 400.000 €’luk yatırım, Yunanistan’da faaliyet gösteren:

Gayrimenkul yatırım ortaklıkları (REIC),

Yatırım fonları (Mutual veya Venture Capital Funds),

ya da Yunan şirketlerinin hisseleri üzerine kurulmuş fonlara yapılabilir.

Fonun, Yunanistan Merkez Bankası tarafından onaylı olması gerekir.

Fon seçimi ve yatırım sürecinin tüm aşamalarında uzman ekibimizle destek sağlıyoruz.

🔹 4. Mevduat yatırımı (Fixed Deposit Investment)

Yunanistan’daki bir bankada en az 400.000 € tutarında sabit vadeli mevduat hesabı açılabilir.

Mevduat en az 12 ay süreyle bloke edilir.

Bankalarla iletişim, hesap açılışı ve resmi belge süreçlerinde tüm adımlarda size eşlik ediyoruz.

🔹 5. Şirket hissesi veya tahvil yatırımı

Yunanistan merkezli bir şirkete ait borsada işlem gören hisselere veya tahvillere en az 800.000 € yatırım yapılabilir.

Yatırımın belgelenebilir olması ve uzun vadeli tutulması gerekir.

Yatırım danışmanlığı, belge hazırlığı ve başvuru takibinde tam destek sunuyoruz."
Mülkü satarsam oturum iznim ne olur?,Satın almış olduğunuz mülkü satarsanız oturum izniniz hemen düşer . 
Gayrimenkulü kiraya verebilir miyim?,Oturum izni için satın aldığınız mülkü uzun dönem kiralayabilirsiniz. Yeni oturum izni kurallarına göre kısa dönem kiralama yapamazsınız. Yapmanız durumunda ve bu anlaşılırsa 50.000 euro ceza ve oturum izninizin iptali ile karşı karşıya kalabilirsiniz .  
Kimler Aile Üyesi Olarak Kabul Edilir?,"Ülkenin yasalarına göre, Yunanistan’a giren yabancı yatırımcıların aile üyeleri şunlardır: Eşler  21 yaşın altındaki çocukları Yaştan bağımsız ebeveynler"
Yunanistan oturum izni son durumu nedir ? ,"Yunanistan Golden Visa Programı, 31 Ağustos 2024 itibariyle önemli değişikliklere uğradı. Yatırım miktarlarındaki bu değişikliklere rağmen, hala 250.000 €’dan başlayan fiyatlarla gayrimenkul yatırımı yapıp, Yunanistan Golden Visa başvurusu yapmak mümkün."
Türkiye ve Yunanistan arasında Çifte Vergilendirme Anlaşması,"İkamet ettiğiniz ülkeye ve Yunanistan’da geçirdiğiniz süreye bağlı olarak, uluslararası geliriniz Yunanistan’da vergiye tabi olmayabilir. Bu durumda, ticari faaliyetlerinizi Yunanistan dışında sürdürebilir ve bazı vergi avantajlarından yararlanabilirsiniz."
Oturum izni ne kadar sürede çıkar?,
Aile fertleri de bu izinden yararlanabilir mi?,"Evet birinci dereceden alt ve üst soyunuz oturum izninden yararlanabilir. Şöyle söyleyebilirim: Mülkü alan kişinin kendisi, eşi, 21 yaş altı çocukları, annesi, babası ile eşinin anne ve babası oturum izninden yararlanabilir"
Yunanistan Golden Visa Programı İçin Uygunluk Kriterleri,Yunanistan’da Golden Visa almaya hak kazanmak için aşağıdaki gereksinimleri karşılamanız gerekir:   AB/AEA üyesi olmayan bir ülke vatandaşı olmak  En az 18 yaşında olmak Temiz bir adli sicil kaydına sahip olmak Kendiniz ve aileniz için sağlık sigortasına sahip olmak
Vizeniz olmadan bu süreci başlatabilir misiniz?,Evet Yunanistan'a gelmeden oturum izni işlemini gerçekleştirebilirsiniz. 
Yunanistan’a gelmeden işlemleri yapabilir miyim?,Evet Yunanistan'a gelmeden işlemleri gerçekleştirebilirsiniz. 
Bekar Eşler veya evli olmama durumunda Oturma İzni Alabilir mi?,Aile üyeleri evli olmayan ortakları içermez.
Ticari Gayrimenkul Satın Alabilir miyim?,"400.000 Euro ve 800.000 Euro’luk asgari yatırımlı bölgelerde ticari ve konut mülkleri arasında ayrım yapmaz. Ancak, 250.000 Euro’luk yatırımların ticari gayrimenkulden konuta dönüştürülmüş olması şarttır."
Yunanistan’da emlak vergisi veya yıllık masraflar var mı?,"Yunanistanda senede bir defa emlak vergisi ödersiniz. Bu aldığınız mülkün semtine, katına, oda sayısına hatta köşe daire olup olmamasına göre değişiklik göstermekle birlikte 250-600 euro arasında bir ödemeniz olabilir. Ayrıca mülkünüzü  kirada ise,  bir önceki yıl elde ettiğiniz kira gelirinizden Yıllık Gelir Vergisi ödemeniz olacaktır. (12.000 euroya kadar ödeyeceğiniz vergi, kira gelirinizin  % 15'i olacaktır) "
başka hangi yollarla oturum izni alabilirim ,"500.000 Euro veya üzerinde, en az üç yıl vadesi kalan, Yunan devlet tahvillerinin bir Yunan kredi kuruluşu aracılığıyla satın alınması  - 800.000 Euro veya üzerinde, Yunan piyasalarında işlem gören hisse senetleri, şirket tahvilleri veya Yunan devlet tahvillerinin satın alınması- 350.000 Euro veya üzerinde, Yunan hisse senetlerine, şirket tahvillerine veya devlet tahvillerine yatırım yapan bir yatırım fonunda payların satın alınması"
Oturum izni yenileme için yeniden yatırım gerekir mi?,Oturum izninizi yenilemek için yeniden yatırım yapmanıza gerek yoktur. Satın aldığınız mülkü satmamanız yeterlidir. 
Yunanistan Golden Visa Yenileme Süreci,"Yunan hükümeti, her defasında beş yıllık bir süre için geçerli olan Yunanistan Golden Visa kartlarını verir. Her beş yılda bir oturma izninizi yenilemeniz gerekmektedir. İzninizi yenilemek için aşağıdaki koşulları sağlamanız gerekir:
Gayrimenkul, asıl başvuru sahibi olan sizin tam mülkiyetinizde kalmalıdır. İlgili kiralamalar/sözleşmeler hala geçerli ve gereksinimleri karşılıyor durumda bulunmalıdır.
Yunanistan Golden Visa oturma izninizi yenilemek için aşağıdaki belgelere ihtiyacınız olacak: Doldurulmuş bir başvuru Dört yeni renkli vesikalık fotoğraf
Yunanistan tarafından tanınan geçerli bir pasaportun veya seyahat belgelerinin gerçek bir kopyası
Önceki daimi ikamet kartının onaylı bir kopyası Hastaneye yatış ve tıbbi bakım masrafları için bir sigorta acentesi tarafından belgelendirme
Yunanistan’da kaldıkları süre boyunca ilgili tarafı kapsadığını açıkça belirtmek şartıyla Yunanistan dışında imzalanan sigorta sözleşmeleri Yunanistan’da imzalanan sigorta sözleşmeleri Bazı durumlarda, yetkililer izni yenilemek için ek belgeler talep edebilir."
Yatırım tutarını birden fazla mülk alarak tamamlayabilir miyim?,"Yeni oturum izni kanunlarına göre 800,400 ve 250 binlik bantlarda tek ev almak zorunludur. "
Oturum iznini iki farklı ev alarak alabilir miyim ? ,"Yeni oturum izni kanunlarına göre 800,400 ve 250 binlik bantlarda tek ev almak zorunludur. "
Oturum iznimden kimler yararlanabilir?,"Oturum izninden mülkü alan kişinin kendisi, eşi, 21 yaş altı çocukları, annesi, babası ile eşinin anne  ve babası yararlanabilir. "
Yunanistan’da Ne Kadar Yaşamak Zorundayım?,"Bu program yatırımcının orada yaşamasını gerektirmez. Ancak, vatandaşlık başvurusunda bulunmak istiyorsanız, orada yedi yıl yaşamanız gerekir."
Çocuklarım hangi yaşa kadar dahil olabilir?,Çocuklar 21 yaşına kadar oturum izninden yararlanabilir. 21 yaşından itibaren oturum izni düşer. Yunanistanda eğitiminin devam etmesi halinde 24 yaşına kadar uzatılabilir. 
Ebeveynlerimi de dahil edebilir miyim?,Evet mülkü alan kişinin anne ve babası ile eşinin anne ve babası oturum izninden yararlanabilir
Aile üyeleri ayrı mı yoksa birlikte mi başvurur?,Aslolan beraber başvuru yapmaktır. Ama bazı evrakların yetişmemesi durumunda yada aileye yeni fertlerin eklenmesi halinde ilave başvurular yapılır
Aile bireyleri Yunanistan’da çalışabilir mi?,Golden vize size yada aile fertlerinize çalışma izni vermez. Ancak şirket kurarak çalışma iznine sahip olabilirsiniz
Yunanistan Golden Visa Alıp Yerleşik Olursam Orada Vergi Ödemem Gerekir mi?,"Yunanistan’da çifte vergilendirme anlaşması sayesinde sadece elde ettiğiniz gelir üzerinden vergi ödemek zorundasınız. Tabii ki, yılın çoğunu orada geçirirseniz, Yunanistan’da vergi mükellefi olursunuz ve vergi ödemeniz gerekir. Vergi mükellefi olmanın vatandaşlık başvurusunda bulunmak için bir gereklilik olduğunu unutmayın."
Başvuru için hangi belgeler gerekir?,"Mülk satın alma aşamasında, Vergi numarası almak ve vekaletname düzenlemek için pasaportunuz gerekmektedir. T.C. Kimlik Kartı ile yapılan işlemler geçersizdir."
Belgeler Yunancaya çevrilmeli midir?,"Hesap açtırmak için bankaya verilecek evraklar ingilizce veya yunanca , oturum izni başvurusu için gerekli evrakların ise yunancaya çevrilmesi zorunludur. "
Apostil zorunlu mu?,Devlet dairelerinden alınan her belge apostil yapılmak zorundadır
Başvuruyu kim yapabilir – şahsen mi yoksa vekaletle mi?,yunanistan oturum izni başvurusu kişisel olarak gerçekleştirilemez mutlaka avukat vasıtasıyla yapılmalıdır. 
Başvuru reddedilirse ne olur?,şimdiye kadar hiç başvuru reddimiz olmadı bu sorunun cevabını bilmiyorum bay kosta ile görüştüğünüz zaman bu konuyu kendisine sormanız daha iyi olur 
Yunanistan Golden Visa Yenileme Süreci,"Oturum izninizi, yatırımınız devam ettikçe, 5 yılda bir yenileyebilirsiniz. Yunanistan'da 7 yıl ikamet ettiğiniz durumda vatandaşlık başvurusunda bulunabilirsiniz."
Oturum kartı nasıl teslim alınır?,Oturum kartınızı Avukatınız Bakanlıktan alır ve size teslim edelir
Biyometrik Verilerin Sunulması & Mavi Kart Alımı,"Mavi kart kurallar değişmeden önce geçici oturum izni kağıdına verilen isim idi . Artık beyaz kart deniliyor. Başvurunun işleme alınmasıyla geçici oturum kartı (Beyaz Kart) verilir. Biyometrik verilerinizi sunmak için en az bir kez Yunanistan’a gitmeniz gerekmektedir. Geçici oturum izni veya beyaz kart , başvurunun işleme alındığını gösterir ve oturum izni kartları gelene kadar geçerlidir. "
Biyometrik veri (parmak izi) ne zaman verilir?,"Oturum izni başvurusu yapılır yapılmaz, biyometrik bilgileriniz yani parmak izi verme işlemi için randevu tarihiniz bakanlık sisteminden otomatik olarak çıkar . Bu tarihe herhangi bir değişiklik yapmak ve tarihe müdahale etmek mümkün değildir. "
Oturum izni onaylandıktan sonra giriş nasıl yapılır?,Oturum kartlarınız gelene kadar geçici kağıtlarınızla Yunanistana giriş çıkış yapabilirsiniz. Ancak Schengen Bölgesine giriş için oturum kartınızın gelmesi mecburidir
Kiralarım Türkiyedeki hesabıma yatabilir mi ? ,Teknik olarak evet ancak Yunanistan'daki kiracılar transfer masraflarını ödememek için Yunan banka hesabına para yatırmayı tercih etmektedir. 
Oturum izni ne kadar süre sonra vatandaşlığa başvuru hakkı verir?,Oturum izni için 7 yıl Yunanistanda yaşadıktan sonra başvuru hakkınız doğar 
Yunan vatandaşlığı almak için hangi şartlar gerekir?,"🇬🇷 Yunanistan Oturum İzni Sahipleri İçin Vatandaşlık Süreci
🔹 1. Oturum izni doğrudan vatandaşlık sağlamaz

Golden Visa veya diğer oturum izinleri, Yunan vatandaşlığı vermez, ancak vatandaşlığa başvuru için gerekli olan yasal ikamet süresini başlatır.
Yani, oturum izni sahibi kişi Yunanistan’da belirli bir süre fiilen yaşamış olmalıdır.

🔹 2. Sürekli ikamet süresi şartı

Yunan yasalarına göre bir yabancı, en az 7 yıl boyunca Yunanistan’da kesintisiz olarak yasal ikamet ettiyse, vatandaşlık başvurusunda bulunabilir.
Bu süre boyunca kişinin:

Yunanistan’da fiilen yaşamış olması,

Vergi beyanında bulunması,

Sosyal ve ekonomik bağlarının olması
gerekmektedir.

🔸 Yalnızca yatırım yapıp ülkede fiilen yaşamayan Golden Visa sahipleri, 7 yıl sonunda otomatik olarak vatandaşlık hakkı kazanmazlar.
Vatandaşlık için, ikamet edilen yıllarda Yunanistan’da yaşam kanıtı (örneğin ikamet adresi, okul kaydı, sağlık sistemi kaydı vb.) gerekir.

🔹 3. Dil ve kültür sınavı

Vatandaşlık başvurusu yapan kişiler, Yunan dili, tarihi ve kültürüyle ilgili bir sınavı geçmek zorundadır.
Bu sınav, A2 seviyesinde Yunanca dil bilgisi ve Yunan toplumuna entegrasyon düzeyini ölçer.

🔹 4. Mali ve hukuki yükümlülüklerin eksiksiz yerine getirilmesi

Başvuru sürecinde kişinin:

Vergi borcunun olmaması,

Yunanistan’da sabıka kaydının bulunmaması,

Mülkün ve yasal belgelerin eksiksiz olması
gerekir.

🔹 5. Aile bireyleri için durum

Vatandaşlık başvurusunda bulunma hakkı, ana başvuru sahibi dışında:

Eşi,

Yunanistan’da büyüyen ve eğitim alan çocukları
için de geçerlidir.
Özellikle Yunanistan’da doğan veya okula giden çocuklar için süreç çok daha kısa ve kolay ilerler.

🔹 6. Başvuru süreci

Vatandaşlık başvurusu, İçişleri Bakanlığı’na (Ministry of Interior) yapılır.
Değerlendirme süreci ortalama 12–24 ay sürer.
Başvuru kabul edildiğinde kişi Yunan pasaportu ve AB vatandaşlığı elde eder.

🔹 7. Vatandaşlığın sağladığı haklar

Avrupa Birliği üyesi tüm ülkelerde yaşama, çalışma ve eğitim hakkı,

AB pasaportu ile 180’den fazla ülkeye vizesiz seyahat,

Yunanistan ve AB içinde tam vatandaşlık hakları."
Yunan vatandaşlığı alındığında Türk vatandaşlığı korunabilir mi?,"Yunanistan oturum izni veya Yunanistan'dan alınacak bir vatandaşlık, Türk vatandaşlığını etkilememektedir. "
Gayrimenkul tapusu tek kişiye mi yoksa ortak isimlere mi olabilir?,Eşler gayrimenkulu ortak olarak olabilir. Eşlerin haricinde minimum oturum izni bedelinin 2 katı bir yer satın almak koşuluyla da mülk satın alıp ayrı ayrı oturum izninden yararlanabilirsiniz
Ortak mülk alırsak ikimiz de oturum izni alabilir miyiz?,Oturum izni kanunu bu durumu sadece eş durumunda izin veriyor . kardeş ana baba veya başka türlü bir akrabalık ilişkisine izin verilmiyor 
Şirket üzerinden mülk alırsam oturum izni geçerli olur mu?,alınacak mülkün gerçek kişi üzerina alınması lazım 
Satın alınan mülk konut dışında ticari bir yer olabilir mi?,"satın alınan mülk tipi herhangi bir mülk tipi olabilir. ticari bir mağaza, arsa, konut, müstakil ev gibi tüm mülk tipleri ile oturum izni alınabilir "
"Tapu işlemlerinde toplam masraf (vergi, noter, avukat) ne kadardır?","Mülk Alımı İçin Ödenecek Masraflar
%3.09 Mülk alımı transfer vergisi - devlete ödenir

%2 Emlak danışmanlık ücreti - bizim emlak danışmanı olarak tahsil ettiğimiz hizmet bedeli
%3 Patra Şehri Alımları İçin emlak danışmanlık ücreti 

%1 Noter - Yunanistanda mülk alımı noter huzurunda yapılır , noter burada devleti temsil eder. Noter hizmet bedeli işlem bedeli üzerinden ( satın alma fiyatı )  hesaplanır ve %24 kdv eklenerek hesaplanır ve bu şekilde faturalandırılır. 
Noter hizmet bedeli işlem günü tahsil edilir.  

%1 Avukat mülk alımı hizmet bedeli - bu kısımda avukatın mülk alımı için yapmış olduğu hizmetler karşılığı vereceğiniz hizmet bedelidir .
Avukat hizmet bedeli satış bedeli üzerinden %24 kdv eklenerek faturalandırılır 
Avukatlık hizmet bedeli işlem günü tahsil edilir. 

% 0.8 Mülk alımı sonrası devlete mülkün artık size ait olduğunun kaydı karşılğında devlete ödenen harç bedelidir "
Tapu harcı ve emlak vergisi oranları nedir?,"Yunanistan’da Mülk Alımında Tapu Harcı ve Emlak Vergisi Oranları
🔹 1. Tapu Harcı (Property Transfer Tax – Φόρος Μεταβίβασης Ακινήτου)

Tapu harcı, satın alınan mülkün satış bedeli veya vergi değeri (hangisi yüksekse) üzerinden hesaplanır.

Oran: %3,09 (yani %3 vergi + %0,09 belediye ek payı).

Örnek: 400.000 €’luk bir mülk için tapu harcı yaklaşık 12.360 € olur.

Bu vergi satın alma sözleşmesinden önce ödenir ve ödemeyi genellikle alıcı yapar.

🟡 Yeni inşa edilmiş konutlarda (building permit 2006 sonrası), geliştiriciden ilk satışsa genellikle %24 KDV (VAT) uygulanır.
Ancak birçok proje KDV muafiyetinden yararlandığından, tapu harcı yerine yalnızca %3,09 transfer vergisi ödenir.

🔹 2. Yıllık Emlak Vergisi (ENFIA – Ενιαίος Φόρος Ιδιοκτησίας Ακινήτων)

Yunanistan’da her yıl tüm mülk sahipleri ENFIA adı verilen emlak vergisini öder.

Oran, mülkün konumu, büyüklüğü, yaşı ve metrekare başına belirlenen değeri gibi faktörlere göre değişir.

Ortalama oran:

%0,1 ile %1,1 arasında değişir.

Tipik bir daire için yıllık vergi genellikle 300 € – 1.000 € aralığındadır.

Vergi, Yunanistan’daki AADE (vergi dairesi) online sistemi üzerinden hesaplanır ve genellikle 5 eşit taksitte (aylık) ödenir.

🔹 3. Belediye vergileri (Municipal Taxes)

Elektrik faturaları aracılığıyla tahsil edilir.

Genellikle mülkün metrekare başına küçük bir tutardır (örneğin 0,5–3 €/m² yıllık).

Bu vergi, sokak aydınlatması, temizlik ve belediye hizmetlerini kapsar."
Gayrimenkul seçerken hangi bölgeler yatırım açısından daha avantajlıdır?,gayrımenkul piyasası ve alacağınız yerlerle ilgili olarak bay kosta ile görüşmeniz daha sağlıklı olur bu konu çok önemli bir konu olduğu için bay kosta ile konunuş 
turkiyede hazırlanan vekaletname ile ilgili bilgiler ,
Krediyle (mortgage) alınan mülk oturum iznine sayılır mı?,Yunan oturum izni kanununa göre alınacak mülk herhangi şerh veya haciz işlemine maruz kalmamış olması gerekir 
Yunanistan dışında bir ülkeden ödeme yapabilir miyim?,evet yunanistan dışından istediğiniz her ülkeden ödeme yapabilirsiniz ancak yapılan ödemenin sizin adınızdaki bir hesaptan yapılması gerekir . 
